Day	Weather	Holiday	FoodItem	QuantitySold
Tuesday	Rainy	Yes	Dosa	78
Saturday	Sunny	Yes	Punukulu	245
Friday	Cloudy	Yes	Punukulu	136
Monday	Rainy	No	Pesarattu	28
Saturday	Cloudy	Yes	Dosa	199
Monday	Sunny	No	Samosa	281
Monday	Sunny	Yes	Pani Puri	210
Sunday	Rainy	No	Samosa	238
Wednesday	Sunny	Yes	Pani Puri	204
Wednesday	Cloudy	No	Mysore Bonda	170
Friday	Sunny	Yes	Pani Puri	42
Wednesday	Sunny	Yes	Samosa	128
Sunday	Cloudy	No	Dosa	213
Sunday	Rainy	Yes	Idli	215
Sunday	Rainy	Yes	Samosa	134
Friday	Rainy	No	Punukulu	82
Sunday	Rainy	Yes	Mysore Bonda	288
Friday	Cloudy	No	Pesarattu	119
Sunday	Rainy	No	Dosa	188
Tuesday	Cloudy	Yes	Mysore Bonda	181
Saturday	Sunny	Yes	Mysore Bonda	229
Wednesday	Sunny	No	Punukulu	278
Monday	Cloudy	No	Dosa	249
Sunday	Cloudy	Yes	Idli	295
Tuesday	Cloudy	Yes	Pesarattu	166
Wednesday	Cloudy	Yes	Samosa	229
Thursday	Rainy	Yes	Mysore Bonda	121
Tuesday	Cloudy	Yes	Idli	81
Thursday	Cloudy	No	Samosa	84
Sunday	Sunny	No	Biryani	105
Monday	Sunny	No	Mirchi Bhajji	201
Tuesday	Cloudy	Yes	Pesarattu	80
Wednesday	Cloudy	Yes	Biryani	57
Saturday	Cloudy	No	Mirchi Bhajji	250
Saturday	Cloudy	No	Mysore Bonda	88
Saturday	Sunny	Yes	Idli	23
Friday	Rainy	No	Mysore Bonda	214
Wednesday	Cloudy	Yes	Punukulu	163
Sunday	Sunny	Yes	Pesarattu	272
Wednesday	Sunny	No	Pesarattu	185
Thursday	Cloudy	Yes	Idli	41
Sunday	Rainy	Yes	Mirchi Bhajji	285
Wednesday	Rainy	No	Samosa	197
Wednesday	Sunny	Yes	Pesarattu	160
Thursday	Cloudy	Yes	Idli	167
Wednesday	Rainy	Yes	Dosa	162
Tuesday	Sunny	Yes	Punukulu	280
Sunday	Sunny	Yes	Biryani	296
Friday	Sunny	Yes	Mysore Bonda	33
Wednesday	Sunny	No	Mirchi Bhajji	247
Friday	Sunny	No	Pesarattu	76
Saturday	Rainy	Yes	Mysore Bonda	241
Thursday	Cloudy	Yes	Idli	162
Saturday	Rainy	Yes	Pani Puri	60
Saturday	Sunny	Yes	Pani Puri	100
Friday	Cloudy	No	Mysore Bonda	282
Saturday	Sunny	No	Biryani	241
Monday	Rainy	No	Dosa	38
Saturday	Rainy	Yes	Dosa	90
Friday	Cloudy	Yes	Dosa	155
Thursday	Sunny	No	Idli	274
Wednesday	Sunny	Yes	Samosa	284
Sunday	Rainy	Yes	Biryani	242
Monday	Cloudy	Yes	Idli	39
Thursday	Rainy	No	Mirchi Bhajji	140
Saturday	Cloudy	No	Punukulu	112
Wednesday	Sunny	No	Mysore Bonda	270
Sunday	Rainy	No	Pani Puri	298
Thursday	Cloudy	Yes	Dosa	77
Sunday	Cloudy	No	Mysore Bonda	186
Tuesday	Rainy	No	Samosa	110
Thursday	Cloudy	Yes	Pani Puri	223
Saturday	Sunny	No	Mysore Bonda	230
Saturday	Sunny	Yes	Pesarattu	157
Friday	Sunny	No	Biryani	185
Wednesday	Rainy	No	Mirchi Bhajji	220
Sunday	Cloudy	No	Mirchi Bhajji	153
Monday	Cloudy	No	Dosa	193
Saturday	Sunny	No	Mysore Bonda	229
Tuesday	Rainy	Yes	Punukulu	125
Sunday	Rainy	Yes	Pani Puri	86
Friday	Rainy	Yes	Biryani	214
Monday	Rainy	No	Pani Puri	52
Saturday	Sunny	Yes	Pani Puri	294
Tuesday	Sunny	No	Dosa	168
Sunday	Sunny	No	Pani Puri	231
Tuesday	Rainy	Yes	Biryani	38
Sunday	Sunny	Yes	Punukulu	223
Sunday	Cloudy	Yes	Idli	164
Wednesday	Sunny	Yes	Dosa	37
Wednesday	Rainy	Yes	Mirchi Bhajji	225
Tuesday	Rainy	No	Samosa	59
Monday	Rainy	No	Biryani	27
Saturday	Rainy	Yes	Samosa	220
Tuesday	Rainy	No	Pani Puri	237
Friday	Rainy	Yes	Pesarattu	160
Thursday	Sunny	Yes	Pesarattu	261
Thursday	Cloudy	No	Samosa	133
Thursday	Rainy	No	Mysore Bonda	165
Saturday	Rainy	Yes	Mirchi Bhajji	28
Thursday	Rainy	No	Pani Puri	299
Saturday	Sunny	No	Dosa	32
Thursday	Sunny	No	Pani Puri	264
Friday	Sunny	No	Pani Puri	93
Sunday	Rainy	Yes	Samosa	106
Tuesday	Cloudy	Yes	Samosa	92
Thursday	Rainy	No	Punukulu	139
Monday	Cloudy	No	Mirchi Bhajji	179
Saturday	Cloudy	Yes	Biryani	184
Saturday	Rainy	No	Biryani	157
Saturday	Sunny	No	Punukulu	275
Wednesday	Rainy	Yes	Pani Puri	256
Saturday	Cloudy	Yes	Samosa	237
Saturday	Sunny	No	Idli	26
Tuesday	Rainy	Yes	Idli	121
Thursday	Sunny	Yes	Mirchi Bhajji	273
Tuesday	Rainy	No	Idli	300
Thursday	Cloudy	Yes	Pesarattu	80
Thursday	Cloudy	No	Punukulu	185
Friday	Cloudy	Yes	Idli	168
Friday	Rainy	Yes	Pani Puri	285
Friday	Cloudy	No	Mysore Bonda	127
Wednesday	Rainy	Yes	Idli	288
Saturday	Cloudy	Yes	Pani Puri	233
Tuesday	Sunny	No	Samosa	22
Wednesday	Rainy	Yes	Dosa	68
Friday	Cloudy	No	Samosa	51
Friday	Cloudy	Yes	Samosa	199
Saturday	Rainy	Yes	Pani Puri	27
Tuesday	Cloudy	No	Mirchi Bhajji	176
Wednesday	Rainy	No	Pesarattu	297
Saturday	Rainy	Yes	Samosa	98
Monday	Rainy	Yes	Pesarattu	111
Wednesday	Rainy	Yes	Idli	287
Friday	Rainy	No	Pani Puri	161
Sunday	Rainy	No	Dosa	106
Monday	Sunny	Yes	Samosa	95
Tuesday	Sunny	No	Biryani	185
Monday	Sunny	Yes	Punukulu	245
Thursday	Rainy	No	Pani Puri	174
Friday	Sunny	Yes	Punukulu	221
Thursday	Cloudy	No	Pani Puri	179
Sunday	Rainy	No	Punukulu	60
Friday	Sunny	Yes	Pesarattu	93
Sunday	Cloudy	No	Mysore Bonda	148
Saturday	Sunny	No	Pani Puri	111
Monday	Cloudy	No	Pani Puri	237
Tuesday	Rainy	Yes	Mirchi Bhajji	211
Tuesday	Rainy	Yes	Dosa	246
Wednesday	Rainy	Yes	Biryani	178
Wednesday	Sunny	No	Pesarattu	277
Monday	Rainy	No	Biryani	160
Saturday	Cloudy	No	Biryani	149
Wednesday	Rainy	Yes	Biryani	261
Friday	Rainy	No	Mysore Bonda	108
Thursday	Rainy	Yes	Biryani	209
Monday	Rainy	Yes	Idli	87
Monday	Cloudy	Yes	Biryani	247
Saturday	Rainy	Yes	Pani Puri	69
Sunday	Rainy	No	Dosa	28
Wednesday	Rainy	No	Idli	207
Friday	Sunny	No	Mirchi Bhajji	51
Monday	Sunny	Yes	Pesarattu	62
Tuesday	Cloudy	Yes	Pesarattu	121
Saturday	Rainy	No	Idli	21
Wednesday	Cloudy	No	Samosa	194
Thursday	Rainy	Yes	Mysore Bonda	65
Monday	Sunny	Yes	Samosa	115
Wednesday	Rainy	Yes	Idli	25
Tuesday	Rainy	No	Mysore Bonda	61
Saturday	Sunny	No	Dosa	87
Wednesday	Sunny	No	Pesarattu	111
Wednesday	Sunny	No	Mirchi Bhajji	135
Sunday	Sunny	No	Dosa	110
Wednesday	Cloudy	No	Pesarattu	67
Thursday	Cloudy	No	Pani Puri	287
Thursday	Rainy	Yes	Biryani	217
Tuesday	Rainy	Yes	Mirchi Bhajji	197
Saturday	Rainy	No	Dosa	195
Saturday	Rainy	No	Samosa	282
Sunday	Sunny	No	Dosa	259
Wednesday	Sunny	Yes	Punukulu	115
Thursday	Sunny	No	Pani Puri	210
Friday	Cloudy	Yes	Pani Puri	73
Saturday	Cloudy	Yes	Idli	235
Thursday	Cloudy	No	Samosa	115
Wednesday	Cloudy	Yes	Mysore Bonda	299
Tuesday	Sunny	No	Mysore Bonda	242
Saturday	Cloudy	No	Dosa	149
Saturday	Cloudy	No	Mysore Bonda	225
Wednesday	Sunny	Yes	Punukulu	75
Thursday	Cloudy	No	Mirchi Bhajji	34
Tuesday	Rainy	Yes	Pesarattu	288
Tuesday	Rainy	Yes	Idli	190
Sunday	Sunny	Yes	Pesarattu	92
Sunday	Cloudy	No	Mirchi Bhajji	104
Thursday	Sunny	Yes	Dosa	108
Wednesday	Cloudy	Yes	Idli	140
Sunday	Sunny	No	Samosa	145
Tuesday	Rainy	No	Biryani	264
Tuesday	Cloudy	Yes	Mysore Bonda	221
Saturday	Sunny	No	Mirchi Bhajji	257
Saturday	Sunny	Yes	Mirchi Bhajji	85
Wednesday	Sunny	No	Pani Puri	164
Sunday	Rainy	No	Mirchi Bhajji	293
Monday	Cloudy	No	Biryani	133
Friday	Sunny	Yes	Pani Puri	205
Wednesday	Rainy	Yes	Mirchi Bhajji	59
Saturday	Sunny	Yes	Mysore Bonda	116
Monday	Sunny	No	Mirchi Bhajji	67
Wednesday	Cloudy	Yes	Mirchi Bhajji	97
Wednesday	Cloudy	No	Mysore Bonda	37
Wednesday	Cloudy	Yes	Idli	223
Saturday	Rainy	Yes	Mysore Bonda	62
Wednesday	Rainy	Yes	Mirchi Bhajji	26
Tuesday	Cloudy	Yes	Punukulu	216
Saturday	Cloudy	Yes	Mysore Bonda	225
Thursday	Sunny	No	Mirchi Bhajji	152
Saturday	Rainy	Yes	Mysore Bonda	277
Wednesday	Cloudy	No	Punukulu	206
Monday	Sunny	No	Punukulu	216
Sunday	Rainy	Yes	Idli	23
Wednesday	Rainy	No	Dosa	283
Sunday	Rainy	No	Mirchi Bhajji	44
Thursday	Cloudy	Yes	Samosa	270
Thursday	Cloudy	Yes	Pani Puri	149
Thursday	Cloudy	No	Biryani	297
Wednesday	Sunny	No	Pani Puri	233
Monday	Cloudy	No	Pesarattu	38
Friday	Sunny	No	Biryani	292
Saturday	Cloudy	Yes	Idli	63
Friday	Sunny	Yes	Idli	272
Thursday	Cloudy	No	Mysore Bonda	144
Sunday	Rainy	No	Biryani	59
Wednesday	Cloudy	Yes	Idli	71
Thursday	Rainy	Yes	Pani Puri	174
Thursday	Cloudy	Yes	Idli	151
Saturday	Rainy	Yes	Mirchi Bhajji	79
Sunday	Sunny	No	Pesarattu	283
Friday	Sunny	Yes	Pani Puri	262
Tuesday	Cloudy	No	Idli	161
Friday	Rainy	Yes	Mirchi Bhajji	112
Saturday	Cloudy	No	Biryani	228
Tuesday	Sunny	No	Idli	160
Wednesday	Cloudy	No	Samosa	133
Tuesday	Sunny	No	Dosa	52
Friday	Cloudy	No	Mirchi Bhajji	188
Friday	Cloudy	No	Punukulu	26
Wednesday	Cloudy	No	Pani Puri	247
Tuesday	Cloudy	No	Dosa	292
Saturday	Sunny	No	Pesarattu	226
Monday	Rainy	Yes	Mysore Bonda	196
Monday	Sunny	No	Pesarattu	169
Sunday	Cloudy	No	Mysore Bonda	35
Tuesday	Rainy	Yes	Pani Puri	240
Thursday	Sunny	No	Punukulu	271
Tuesday	Cloudy	Yes	Mirchi Bhajji	83
Monday	Cloudy	Yes	Dosa	76
Friday	Cloudy	Yes	Idli	225
Friday	Cloudy	No	Dosa	234
Friday	Cloudy	No	Pani Puri	74
Saturday	Rainy	No	Punukulu	294
Friday	Cloudy	Yes	Mirchi Bhajji	273
Sunday	Cloudy	No	Mysore Bonda	100
Sunday	Sunny	No	Pesarattu	21
Friday	Cloudy	No	Idli	70
Thursday	Rainy	No	Mirchi Bhajji	230
Tuesday	Rainy	Yes	Dosa	90
Friday	Rainy	Yes	Mirchi Bhajji	31
Wednesday	Rainy	Yes	Idli	261
Saturday	Sunny	No	Biryani	219
Friday	Rainy	Yes	Idli	254
Wednesday	Rainy	Yes	Idli	261
Saturday	Sunny	No	Idli	170
Monday	Sunny	Yes	Mysore Bonda	255
Tuesday	Rainy	No	Dosa	110
Thursday	Rainy	Yes	Pani Puri	101
Tuesday	Cloudy	Yes	Biryani	36
Saturday	Rainy	No	Punukulu	260
Sunday	Cloudy	Yes	Mirchi Bhajji	153
Saturday	Rainy	Yes	Punukulu	32
Thursday	Cloudy	Yes	Pesarattu	223
Sunday	Rainy	Yes	Pani Puri	224
Saturday	Rainy	No	Mirchi Bhajji	83
Monday	Sunny	No	Samosa	106
Wednesday	Cloudy	No	Idli	144
Sunday	Cloudy	Yes	Pesarattu	69
Wednesday	Rainy	Yes	Mysore Bonda	271
Sunday	Sunny	No	Pani Puri	171
Saturday	Cloudy	No	Mysore Bonda	152
Friday	Cloudy	Yes	Idli	95
Friday	Cloudy	Yes	Dosa	209
Friday	Cloudy	No	Pesarattu	101
Friday	Rainy	No	Mysore Bonda	245
Saturday	Cloudy	Yes	Idli	95
Friday	Cloudy	No	Pesarattu	136
Monday	Sunny	No	Idli	26
Wednesday	Cloudy	No	Mysore Bonda	107
Wednesday	Rainy	Yes	Punukulu	180
Friday	Cloudy	No	Mysore Bonda	106
Sunday	Rainy	No	Idli	267
Thursday	Sunny	Yes	Pani Puri	135
Wednesday	Sunny	Yes	Idli	162
Friday	Rainy	Yes	Dosa	202
Thursday	Cloudy	Yes	Punukulu	136
Saturday	Sunny	No	Biryani	224
Saturday	Sunny	No	Punukulu	54
Wednesday	Rainy	Yes	Biryani	248
Friday	Rainy	Yes	Dosa	151
Sunday	Rainy	Yes	Dosa	136
Saturday	Rainy	No	Idli	40
Friday	Cloudy	No	Samosa	117
Saturday	Sunny	Yes	Punukulu	175
Monday	Sunny	Yes	Dosa	264
Thursday	Sunny	Yes	Pani Puri	57
Tuesday	Cloudy	Yes	Mysore Bonda	62
Thursday	Sunny	Yes	Punukulu	130
Friday	Cloudy	No	Biryani	240
Sunday	Sunny	No	Dosa	253
Monday	Cloudy	No	Pesarattu	272
Saturday	Sunny	No	Punukulu	267
Friday	Cloudy	No	Pesarattu	292
Tuesday	Cloudy	No	Punukulu	277
Wednesday	Rainy	No	Samosa	113
Thursday	Sunny	No	Punukulu	260
Thursday	Sunny	Yes	Samosa	241
Saturday	Cloudy	Yes	Mysore Bonda	195
Saturday	Rainy	Yes	Dosa	75
Sunday	Sunny	Yes	Pesarattu	276
Wednesday	Cloudy	No	Samosa	173
Friday	Sunny	Yes	Pani Puri	100
Tuesday	Cloudy	Yes	Idli	100
Wednesday	Rainy	No	Mirchi Bhajji	157
Tuesday	Cloudy	No	Pesarattu	209
Tuesday	Cloudy	No	Pani Puri	181
Thursday	Cloudy	No	Mirchi Bhajji	233
Monday	Cloudy	Yes	Mirchi Bhajji	201
Saturday	Sunny	No	Pesarattu	29
Sunday	Rainy	Yes	Dosa	151
Wednesday	Cloudy	Yes	Pani Puri	238
Sunday	Cloudy	No	Punukulu	122
Sunday	Sunny	No	Pesarattu	74
Monday	Sunny	Yes	Pani Puri	265
Saturday	Rainy	No	Biryani	219
Saturday	Rainy	No	Dosa	163
Friday	Rainy	No	Biryani	71
Monday	Rainy	No	Pesarattu	295
Wednesday	Cloudy	No	Samosa	261
Tuesday	Rainy	Yes	Pani Puri	231
Sunday	Sunny	Yes	Pesarattu	122
Friday	Sunny	No	Dosa	187
Friday	Rainy	No	Punukulu	291
Sunday	Cloudy	Yes	Idli	54
Sunday	Rainy	No	Pani Puri	248
Saturday	Sunny	Yes	Pani Puri	259
Tuesday	Cloudy	No	Pani Puri	121
Saturday	Rainy	No	Pesarattu	31
Tuesday	Sunny	No	Mirchi Bhajji	222
Sunday	Cloudy	Yes	Punukulu	50
Friday	Cloudy	Yes	Mirchi Bhajji	36
Friday	Cloudy	No	Pesarattu	190
Saturday	Sunny	Yes	Samosa	77
Friday	Sunny	Yes	Mysore Bonda	117
Sunday	Sunny	No	Pesarattu	258
Thursday	Rainy	Yes	Pani Puri	57
Tuesday	Rainy	No	Mysore Bonda	290
Sunday	Rainy	No	Biryani	225
Friday	Cloudy	Yes	Mirchi Bhajji	29
Monday	Sunny	No	Mirchi Bhajji	97
Wednesday	Sunny	No	Punukulu	254
Saturday	Rainy	Yes	Pani Puri	98
Tuesday	Sunny	Yes	Pesarattu	112
Monday	Sunny	Yes	Idli	296
Wednesday	Sunny	No	Pani Puri	137
Saturday	Sunny	Yes	Pesarattu	103
Thursday	Cloudy	Yes	Dosa	201
Monday	Sunny	No	Samosa	212
Monday	Cloudy	Yes	Mirchi Bhajji	45
Thursday	Cloudy	No	Dosa	125
Sunday	Cloudy	Yes	Samosa	109
Friday	Rainy	Yes	Idli	127
Monday	Cloudy	No	Pani Puri	232
Tuesday	Sunny	Yes	Punukulu	204
Thursday	Cloudy	Yes	Mysore Bonda	28
Monday	Cloudy	No	Mirchi Bhajji	71
Wednesday	Cloudy	No	Samosa	242
Sunday	Rainy	No	Dosa	63
Saturday	Rainy	No	Mysore Bonda	28
Wednesday	Rainy	No	Biryani	92
Sunday	Sunny	Yes	Biryani	85
Friday	Sunny	Yes	Mysore Bonda	39
Monday	Rainy	Yes	Pesarattu	210
Friday	Cloudy	Yes	Mirchi Bhajji	108
Tuesday	Rainy	Yes	Idli	206
Monday	Sunny	Yes	Mysore Bonda	124
Wednesday	Cloudy	No	Pesarattu	184
Monday	Sunny	No	Biryani	260
Monday	Rainy	Yes	Mirchi Bhajji	43
Friday	Cloudy	Yes	Idli	71
Monday	Cloudy	Yes	Samosa	234
Monday	Sunny	No	Mysore Bonda	232
Sunday	Rainy	No	Idli	20
Wednesday	Cloudy	No	Pesarattu	85
Wednesday	Rainy	No	Samosa	264
Thursday	Rainy	Yes	Idli	132
Friday	Sunny	Yes	Dosa	62
Saturday	Sunny	No	Pesarattu	73
Tuesday	Sunny	No	Idli	174
Wednesday	Rainy	No	Punukulu	284
Friday	Cloudy	Yes	Pani Puri	236
Wednesday	Rainy	Yes	Biryani	217
Saturday	Sunny	Yes	Idli	27
Tuesday	Rainy	Yes	Dosa	102
Thursday	Cloudy	Yes	Mysore Bonda	267
Sunday	Cloudy	Yes	Mirchi Bhajji	251
Tuesday	Cloudy	No	Punukulu	245
Monday	Rainy	No	Punukulu	192
Wednesday	Sunny	No	Pani Puri	269
Sunday	Rainy	No	Samosa	195
Sunday	Rainy	No	Samosa	207
Thursday	Rainy	Yes	Punukulu	84
Monday	Sunny	No	Samosa	81
Friday	Rainy	No	Idli	197
Wednesday	Cloudy	No	Punukulu	62
Sunday	Rainy	Yes	Mirchi Bhajji	281
Tuesday	Sunny	Yes	Biryani	121
Saturday	Rainy	No	Punukulu	97
Friday	Rainy	Yes	Punukulu	205
Friday	Sunny	Yes	Pani Puri	101
Monday	Rainy	Yes	Dosa	97
Friday	Rainy	No	Dosa	162
Monday	Cloudy	No	Mirchi Bhajji	287
Thursday	Cloudy	No	Pani Puri	89
Saturday	Cloudy	Yes	Samosa	148
Saturday	Rainy	No	Dosa	54
Monday	Cloudy	Yes	Idli	266
Sunday	Sunny	Yes	Mirchi Bhajji	101
Saturday	Cloudy	No	Dosa	147
Sunday	Cloudy	Yes	Dosa	161
Tuesday	Cloudy	Yes	Idli	125
Thursday	Sunny	No	Pani Puri	25
Saturday	Sunny	No	Punukulu	72
Sunday	Rainy	No	Dosa	244
Wednesday	Sunny	No	Idli	56
Sunday	Rainy	No	Pesarattu	40
Thursday	Cloudy	Yes	Mysore Bonda	238
Friday	Sunny	No	Pesarattu	135
Friday	Sunny	Yes	Pani Puri	143
Sunday	Rainy	No	Mirchi Bhajji	235
Monday	Rainy	Yes	Pesarattu	161
Wednesday	Rainy	No	Mirchi Bhajji	148
Wednesday	Sunny	Yes	Samosa	268
Tuesday	Rainy	No	Dosa	242
Saturday	Cloudy	Yes	Mysore Bonda	212
Friday	Rainy	No	Biryani	75
Friday	Rainy	Yes	Samosa	80
Sunday	Sunny	No	Mirchi Bhajji	221
Saturday	Rainy	Yes	Pani Puri	245
Sunday	Cloudy	Yes	Mirchi Bhajji	241
Saturday	Sunny	Yes	Idli	32
Saturday	Cloudy	Yes	Pesarattu	231
Sunday	Sunny	No	Pesarattu	203
Sunday	Rainy	No	Pani Puri	147
Wednesday	Cloudy	Yes	Pani Puri	254
Saturday	Rainy	No	Idli	127
Friday	Rainy	No	Mirchi Bhajji	198
Sunday	Sunny	No	Samosa	190
Wednesday	Rainy	Yes	Pani Puri	176
Monday	Rainy	Yes	Mirchi Bhajji	180
Friday	Cloudy	Yes	Mirchi Bhajji	123
Wednesday	Rainy	No	Pani Puri	192
Sunday	Cloudy	No	Idli	106
Wednesday	Sunny	Yes	Dosa	178
Friday	Rainy	No	Punukulu	295
Tuesday	Cloudy	Yes	Dosa	67
Monday	Rainy	No	Pesarattu	94
Saturday	Cloudy	No	Mirchi Bhajji	88
Thursday	Sunny	No	Samosa	185
Tuesday	Cloudy	Yes	Dosa	300
Tuesday	Rainy	No	Biryani	273
Tuesday	Rainy	Yes	Dosa	135
Thursday	Rainy	Yes	Idli	26
Wednesday	Sunny	Yes	Mysore Bonda	244
Thursday	Rainy	Yes	Mirchi Bhajji	115
Sunday	Rainy	No	Mirchi Bhajji	153
Saturday	Cloudy	No	Mirchi Bhajji	209
Wednesday	Sunny	No	Punukulu	202
Monday	Rainy	Yes	Pani Puri	146
Sunday	Rainy	Yes	Samosa	279
Saturday	Cloudy	No	Samosa	136
Saturday	Cloudy	Yes	Mysore Bonda	157
Friday	Sunny	No	Mysore Bonda	274
Friday	Cloudy	Yes	Idli	31
Friday	Cloudy	Yes	Pani Puri	264
Sunday	Rainy	Yes	Samosa	201
Monday	Rainy	No	Pesarattu	34
Saturday	Rainy	No	Mirchi Bhajji	88
Thursday	Sunny	No	Pesarattu	295
Saturday	Rainy	No	Pani Puri	139
Friday	Rainy	No	Idli	296
Saturday	Rainy	No	Biryani	47
Saturday	Cloudy	Yes	Samosa	52
Friday	Cloudy	Yes	Dosa	147
Friday	Sunny	Yes	Biryani	273
Saturday	Sunny	No	Samosa	68
Thursday	Rainy	No	Mirchi Bhajji	215
Saturday	Cloudy	Yes	Pani Puri	113
Monday	Cloudy	No	Idli	240
Wednesday	Cloudy	Yes	Idli	153
Thursday	Sunny	Yes	Pani Puri	61
Wednesday	Cloudy	Yes	Punukulu	151
Monday	Rainy	Yes	Punukulu	50
Saturday	Cloudy	Yes	Idli	20
Friday	Sunny	Yes	Pani Puri	216
Wednesday	Sunny	No	Samosa	108
Tuesday	Rainy	No	Idli	294
Tuesday	Cloudy	Yes	Idli	211
Friday	Sunny	No	Idli	279
Tuesday	Cloudy	Yes	Biryani	295
Sunday	Sunny	No	Pesarattu	75
Wednesday	Rainy	Yes	Punukulu	105
Monday	Cloudy	Yes	Idli	192
Thursday	Rainy	No	Mysore Bonda	79
Saturday	Rainy	Yes	Pani Puri	146
Wednesday	Sunny	Yes	Mysore Bonda	116
Sunday	Cloudy	Yes	Pani Puri	50
Thursday	Rainy	Yes	Punukulu	66
Saturday	Rainy	No	Punukulu	292
Friday	Cloudy	Yes	Pesarattu	184
Tuesday	Cloudy	Yes	Pesarattu	238
Thursday	Cloudy	No	Samosa	271
Monday	Cloudy	Yes	Pani Puri	267
Friday	Cloudy	No	Mysore Bonda	167
Sunday	Rainy	Yes	Punukulu	41
Tuesday	Sunny	No	Punukulu	108
Saturday	Cloudy	Yes	Punukulu	34
Monday	Cloudy	No	Dosa	200
Friday	Sunny	No	Punukulu	288
Sunday	Sunny	No	Biryani	129
Monday	Cloudy	Yes	Dosa	183
Monday	Rainy	Yes	Mysore Bonda	125
Friday	Rainy	Yes	Biryani	215
Tuesday	Rainy	Yes	Pesarattu	22
Tuesday	Rainy	No	Idli	219
Sunday	Sunny	No	Mirchi Bhajji	42
Tuesday	Sunny	Yes	Pesarattu	236
Saturday	Rainy	No	Dosa	159
Thursday	Rainy	Yes	Mirchi Bhajji	231
Thursday	Cloudy	Yes	Mysore Bonda	149
Friday	Sunny	No	Biryani	249
Tuesday	Rainy	Yes	Samosa	78
Monday	Sunny	No	Samosa	113
Friday	Cloudy	Yes	Pesarattu	223
Wednesday	Rainy	No	Pesarattu	153
Monday	Sunny	No	Dosa	64
Friday	Cloudy	Yes	Idli	285
Monday	Cloudy	No	Samosa	77
Tuesday	Sunny	No	Idli	62
Sunday	Rainy	Yes	Dosa	243
Friday	Cloudy	No	Idli	246
Friday	Sunny	Yes	Dosa	182
Monday	Rainy	Yes	Idli	194
Sunday	Cloudy	Yes	Pani Puri	256
Tuesday	Rainy	Yes	Mirchi Bhajji	214
Tuesday	Cloudy	Yes	Dosa	114
Saturday	Sunny	No	Mysore Bonda	32
Sunday	Cloudy	Yes	Dosa	290
Wednesday	Rainy	Yes	Idli	300
Wednesday	Sunny	Yes	Samosa	229
Friday	Rainy	Yes	Idli	184
Wednesday	Sunny	Yes	Samosa	139
Monday	Cloudy	Yes	Biryani	218
Sunday	Rainy	Yes	Dosa	38
Friday	Rainy	Yes	Biryani	263
Friday	Rainy	No	Pesarattu	218
Thursday	Rainy	Yes	Mysore Bonda	148
Wednesday	Rainy	No	Mysore Bonda	98
Thursday	Rainy	No	Dosa	93
Wednesday	Rainy	Yes	Mirchi Bhajji	151
Tuesday	Cloudy	Yes	Mirchi Bhajji	173
Tuesday	Sunny	No	Mirchi Bhajji	297
Sunday	Sunny	No	Idli	200
Tuesday	Cloudy	No	Mirchi Bhajji	255
Saturday	Cloudy	No	Mirchi Bhajji	257
Wednesday	Cloudy	No	Mirchi Bhajji	88
Saturday	Rainy	Yes	Dosa	131
Saturday	Sunny	Yes	Pani Puri	257
Friday	Cloudy	No	Pesarattu	129
Thursday	Sunny	No	Samosa	297
Saturday	Cloudy	No	Mirchi Bhajji	46
Tuesday	Sunny	No	Punukulu	100
Saturday	Cloudy	No	Idli	246
Monday	Rainy	Yes	Mirchi Bhajji	108
Wednesday	Rainy	Yes	Mirchi Bhajji	121
Tuesday	Cloudy	No	Mysore Bonda	145
Sunday	Rainy	Yes	Mysore Bonda	181
Friday	Rainy	Yes	Samosa	53
Monday	Sunny	Yes	Biryani	189
Sunday	Sunny	No	Pani Puri	123
Saturday	Sunny	Yes	Pesarattu	53
Wednesday	Rainy	No	Mysore Bonda	263
Wednesday	Rainy	Yes	Pesarattu	175
Monday	Rainy	Yes	Idli	103
Thursday	Sunny	No	Idli	260
Saturday	Cloudy	Yes	Samosa	95
Thursday	Sunny	Yes	Idli	215
Thursday	Cloudy	No	Idli	30
Friday	Rainy	No	Mysore Bonda	113
Thursday	Sunny	No	Pani Puri	193
Monday	Cloudy	Yes	Idli	89
Friday	Cloudy	No	Idli	76
Sunday	Rainy	Yes	Pani Puri	169
Saturday	Sunny	No	Mysore Bonda	28
Friday	Rainy	No	Idli	206
Sunday	Cloudy	Yes	Punukulu	163
Friday	Sunny	No	Pani Puri	105
Monday	Rainy	Yes	Pesarattu	154
Thursday	Cloudy	No	Biryani	159
Saturday	Rainy	No	Samosa	190
Friday	Sunny	Yes	Biryani	29
Wednesday	Cloudy	Yes	Mysore Bonda	214
Thursday	Sunny	No	Mirchi Bhajji	191
Wednesday	Rainy	No	Mirchi Bhajji	195
Tuesday	Cloudy	No	Punukulu	118
Thursday	Cloudy	No	Samosa	250
Saturday	Sunny	No	Punukulu	78
Monday	Sunny	Yes	Dosa	58
Tuesday	Cloudy	Yes	Idli	141
Sunday	Sunny	Yes	Biryani	26
Saturday	Cloudy	Yes	Idli	255
Saturday	Cloudy	Yes	Samosa	48
Saturday	Sunny	Yes	Samosa	115
Monday	Rainy	Yes	Biryani	241
Sunday	Rainy	Yes	Dosa	45
Saturday	Sunny	No	Pani Puri	291
Tuesday	Cloudy	Yes	Mysore Bonda	115
